,stuid,fname,lname,address,city,state,hphone,dob,ssn,grade,schoolassignment,deviceassignment
311105,311105,Jennifer,Collins,879 Haas Wells Meadow,West Garyton,MD,+12025550191,2010-05-11,014-28-3536,4,6,a1454b
311106,311106,Kenneth,Chambers,158 Jones Valleys Inlet,West Garyton,MD,+12025550137,2012-09-29,439-27-0453,2,9,8505e3
311107,311107,Martin,Johnston,1728 Williams Key Parks,West Garyton,MD,+12025550188,2002-10-14,045-08-5588,12,100,4be552
311108,311108,Shawn,Wright,700 Scott Hollow Vista,West Garyton,MD,+12025550124,2009-05-21,270-11-7433,5,13,e41fe9
311109,311109,Kirk,Hays,6773 Luke Alley Flats,West Garyton,MD,+12025550105,2004-11-28,448-48-3699,10,74,75a3f0
311110,311110,Walter,Smith,9539 Deborah Lock Lakes,West Garyton,MD,+12025550137,2008-04-10,177-20-3531,7,2,cbf2aa
311111,311111,Matthew,Moore,10009 Benjamin Causeway Pike,West Garyton,MD,+12025550137,2002-10-23,548-63-7139,12,100,cdf02f
311112,311112,Jason,Obrien,3503 Caleb Trafficway Crescent,West Garyton,MD,+12025550191,2011-06-28,345-79-1272,3,3,4657e3
311113,311113,Christian,Hill,740 Jackson Stream Islands,West Garyton,MD,+12025550191,2013-12-31,147-73-1412,1,8,f0f9c4
311114,311114,Rose,Berger,662 Stephen Lane Spur,West Garyton,MD,+12025550188,2003-08-03,196-52-1844,11,95,f15d11
311115,311115,Robert,Adams,45973 Brian Square Port,West Garyton,MD,+12025550137,2013-02-04,615-60-0585,2,7,024b44
311116,311116,Deborah,Curtis,71823 Grant Loop Radial,West Garyton,MD,+12025550124,2012-12-17,803-07-8568,2,3,3da5c9
311117,311117,Tina,Perry,704 Garcia Junction Ramp,West Garyton,MD,+12025550137,2011-07-23,224-94-4900,3,6,9e58dd
311118,311118,Jeremy,Brewer,125 Steven Mountain Ford,West Garyton,MD,+12025550105,2009-06-23,781-36-7995,5,9,011b55
311119,311119,Anthony,Mooney,61739 Holly Cliffs Circles,West Garyton,MD,+12025550137,2004-10-04,340-03-1494,10,90,46a4b3
311120,311120,Kimberly,Mcdonald,937 Christopher Key Route,West Garyton,MD,+12025550191,2011-10-17,080-29-6481,3,0,aff885
311121,311121,Kurt,Clark,10209 Cathy Drive Orchard,West Garyton,MD,+12025550137,2006-09-09,303-99-9263,8,15,f486e2
311122,311122,Katie,Arnold,95883 Flynn Union Trace,West Garyton,MD,+12025550124,2007-04-17,688-82-0813,8,10,f06ef7
311123,311123,Jonathan,Nash,663 Mccarthy Rest Common,West Garyton,MD,+12025550191,2003-10-05,555-68-3264,11,81,83342d
311124,311124,Tim,Hernandez,93908 Brenda Valleys Knoll,West Garyton,MD,+12025550187,2011-05-20,853-61-1323,3,15,d9b02f
311125,311125,Melanie,Nunez,326 Velazquez Cliff Brooks,West Garyton,MD,+12025550137,2010-05-25,187-16-7061,4,11,494ab9
311126,311126,Debra,Allison,54112 Gonzalez Way Road,West Garyton,MD,+12025550188,2003-04-09,796-26-9932,12,94,c667be
311127,311127,Matthew,Parks,8907 Dawson Corner Knoll,West Garyton,MD,+12025550137,2009-06-24,469-41-5010,5,1,d976fc
311128,311128,Gregory,Hudson,9849 Carlos Valley Pike,West Garyton,MD,+12025550124,2003-04-08,449-89-4651,12,113,8b9595
311129,311129,Ann,Adams,95346 Bobby Alley Pass,West Garyton,MD,+12025550187,2004-06-29,894-33-0253,10,88,43f9c1
311130,311130,Lance,Alexander,93159 Juan Harbors Canyon,West Garyton,MD,+12025550105,2012-02-23,789-85-8056,3,14,7eba42
311131,311131,Victor,Mcdonald,398 Ford Crescent Ridge,West Garyton,MD,+12025550105,2009-09-29,561-19-7512,5,12,531ef3
311132,311132,Eric,Hardy,41029 Michael Drive Extension,West Garyton,MD,+12025550187,2003-12-10,559-75-5554,11,53,fe74cf
311133,311133,Jody,Johnson,2290 Joshua Manor Shore,West Garyton,MD,+12025550188,2010-11-09,012-08-1715,4,11,84957d
311134,311134,Harry,Nelson,89972 Melissa Rue Turnpike,West Garyton,MD,+12025550124,2005-08-22,646-02-2698,9,78,b28443
311135,311135,Eric,Bryant,635 Russell Points Lodge,West Garyton,MD,+12025550137,2010-01-27,667-52-6212,5,2,a1a3ad
311136,311136,Christian,Shelton,07861 Jennifer Keys Street,West Garyton,MD,+12025550124,2006-01-07,151-67-3157,9,55,dde62e
311137,311137,Samuel,Yang,78795 Benjamin Field Estates,West Garyton,MD,+12025550124,2008-05-01,493-08-2495,6,6,cc85a9
311138,311138,Jack,Morgan,723 Robert Orchard Mission,West Garyton,MD,+12025550105,2011-06-18,423-99-9728,3,12,44f0e1
311139,311139,Mario,Hernandez,5176 Juarez Stream Mill,West Garyton,MD,+12025550105,2012-10-28,303-27-8403,2,12,3d97b9
311140,311140,Daniel,Lewis,62366 Tina Walks Shore,West Garyton,MD,+12025550187,2006-07-14,425-04-6941,8,7,fd4d60
311141,311141,Albert,Johnson,81310 Guerrero Branch Center,West Garyton,MD,+12025550188,2008-01-23,174-01-6287,7,3,8622c1
311142,311142,Erica,Parker,8987 Chad Viaduct Key,West Garyton,MD,+12025550124,2010-02-18,415-46-9876,5,11,a17899
311143,311143,Matthew,Dunn,321 Brown Knolls Light,West Garyton,MD,+12025550187,2010-04-16,180-07-2688,5,9,be3b1e
311144,311144,Thomas,Cervantes,873 Patton Ways Shore,West Garyton,MD,+12025550124,2006-12-04,035-39-5608,8,6,383315
311145,311145,Stephanie,Garcia,135 Barry Club Ridge,West Garyton,MD,+12025550191,2006-12-29,056-97-6528,8,13,0bbb7a
311146,311146,Beth,Johnson,65364 Melissa Gardens Camp,West Garyton,MD,+12025550105,2002-07-12,883-97-0907,12,99,a9bd60
311147,311147,Dana,Leonard,617 Ashley Mill Road,West Garyton,MD,+12025550191,2008-11-05,891-06-3343,6,10,84e9af
311148,311148,Keith,Lawrence,6047 Barrera Plaza Throughway,West Garyton,MD,+12025550137,2010-01-29,125-58-7206,5,6,388d4a
311149,311149,Stanley,Campbell,6205 Shepherd Burgs Canyon,West Garyton,MD,+12025550191,2007-08-20,546-42-9428,7,7,936288
311150,311150,Ashley,Jacobs,10350 William Forks Bypass,West Garyton,MD,+12025550124,2005-07-30,640-76-1463,9,78,4a492e
311151,311151,Brian,Russell,018 Meghan Skyway Prairie,West Garyton,MD,+12025550137,2007-02-12,567-14-2817,8,2,7963c5
311152,311152,Derek,Riggs,1617 Davis Ports Valleys,West Garyton,MD,+12025550124,2009-11-30,007-77-0012,5,12,94d3a2
311153,311153,Jake,Gutierrez,868 Robles Mount Circles,West Garyton,MD,+12025550124,2012-08-10,859-90-8192,2,2,ddcaeb
311154,311154,Joseph,Ferguson,982 Aaron Unions Bypass,West Garyton,MD,+12025550187,2004-10-20,712-54-6689,10,82,7a6179
311155,311155,Samantha,Price,428 Keith Street Forest,West Garyton,MD,+12025550191,2005-10-08,683-33-3908,9,78,fb58f0
311156,311156,Andrew,Palmer,738 Martin Trail Mission,West Garyton,MD,+12025550124,2012-05-18,212-19-3857,2,6,b149fc
311157,311157,Barbara,Oconnor,076 Amber Alley Drive,West Garyton,MD,+12025550124,2012-10-17,079-64-9288,2,4,51e303
311158,311158,Dennis,Ortega,559 Greer Locks Summit,West Garyton,MD,+12025550191,2009-04-13,427-06-1628,6,3,1f5698
311159,311159,Zachary,Callahan,06042 Lauren Wells Ville,West Garyton,MD,+12025550191,2010-08-29,776-80-6374,4,14,847b13
311160,311160,Melvin,Cunningham,5825 Bentley Shore Summit,West Garyton,MD,+12025550187,2013-12-19,888-94-6232,1,10,1dc3a2
311161,311161,Jimmy,Woods,3141 Christina Course Heights,West Garyton,MD,+12025550191,2003-02-02,189-05-6918,12,74,7cbdfd
311162,311162,Ethan,Suarez,00346 David Isle Curve,West Garyton,MD,+12025550137,2007-06-06,147-66-0828,7,15,e7e2a8
311163,311163,Mark,Brown,911 Ferguson Mission Cliffs,West Garyton,MD,+12025550188,2006-10-01,636-42-0901,8,13,99651a
311164,311164,Stephanie,Scott,70137 Yates Radial Drive,West Garyton,MD,+12025550191,2003-10-31,100-04-6159,11,96,ba939c
311165,311165,Joseph,Wong,9389 Ramirez Fall Flats,West Garyton,MD,+12025550191,2012-04-15,674-01-7164,3,12,c31bef
311166,311166,John,West,37914 Johnson Walk Plains,West Garyton,MD,+12025550187,2002-08-20,300-20-7541,12,54,169d29
311167,311167,David,Horn,8351 Anna Manor Corner,West Garyton,MD,+12025550137,2002-09-18,190-14-8944,12,53,2daae9
311168,311168,Kristine,Moore,8309 Nolan Ports Greens,West Garyton,MD,+12025550124,2012-01-19,754-06-7365,3,1,ab0808
311169,311169,Christy,Lozano,681 Jeffrey Lakes Walk,West Garyton,MD,+12025550187,2004-08-15,530-56-5192,10,85,ccd942
311170,311170,Charlene,Scott,753 Marquez Springs Flat,West Garyton,MD,+12025550124,2005-10-04,057-84-1196,9,99,b32831
311171,311171,Michael,Barber,57927 House Tunnel Parkways,West Garyton,MD,+12025550105,2013-02-20,520-66-7823,2,1,f45b8b
311172,311172,Amanda,Ware,33473 Jacqueline Rest Inlet,West Garyton,MD,+12025550124,2014-03-15,051-76-3858,1,6,ffc2f4
311173,311173,Christina,Horton,989 Daniel Valleys Center,West Garyton,MD,+12025550124,2005-07-15,465-34-3725,9,104,43d8b3
311174,311174,William,Estes,83314 Cannon Burg Manors,West Garyton,MD,+12025550105,2004-05-07,871-53-6236,10,65,b15580
311175,311175,Shane,Simmons,98461 Kristen Plains Cape,West Garyton,MD,+12025550124,2002-07-21,711-28-1637,12,98,09962c
311176,311176,Paul,Smith,4020 Aguirre Squares Turnpike,West Garyton,MD,+12025550137,2005-05-05,153-73-8797,9,53,c42e0e
311177,311177,Jeremy,Cunningham,4796 Vasquez Alley Knolls,West Garyton,MD,+12025550191,2003-05-21,758-55-6505,11,97,d11511
311178,311178,Vincent,Jefferson,321 House Avenue Ridge,West Garyton,MD,+12025550188,2004-07-19,738-43-6784,10,113,085c9d
311179,311179,Melissa,Quinn,52035 Beth Locks Manor,West Garyton,MD,+12025550137,2008-06-13,798-35-3217,6,2,515d5b
311180,311180,Matthew,Palmer,7042 Clay Via Ways,West Garyton,MD,+12025550188,2003-04-12,278-80-6774,12,49,d0a774
311181,311181,Amanda,Coleman,467 Brian Plains Falls,West Garyton,MD,+12025550105,2013-12-03,489-52-2360,1,12,ba1e81
311182,311182,Joseph,Thompson,7207 Johnson Fall Mountains,West Garyton,MD,+12025550105,2012-02-29,255-43-7214,3,0,3a14b4
311183,311183,Adam,Johnson,5243 Jason Light Island,West Garyton,MD,+12025550137,2007-01-22,610-59-3952,8,9,87ab27
311184,311184,Samantha,Hayden,78585 John Drive Avenue,West Garyton,MD,+12025550124,2003-06-12,621-56-1687,11,50,72a2f4
311185,311185,Dawn,Lin,73373 Michael Landing Square,West Garyton,MD,+12025550191,2009-05-10,512-22-3544,5,11,7ff60a
311186,311186,Ashley,Boyd,645 Douglas Circle Stravenue,West Garyton,MD,+12025550191,2008-12-03,131-60-5337,6,0,835995
311187,311187,Mark,Hurst,2690 Daniel Ridge Underpass,West Garyton,MD,+12025550124,2011-05-09,832-14-9231,3,8,c4dfb3
311188,311188,Justin,Acosta,239 Archer Shores Island,West Garyton,MD,+12025550105,2002-07-01,218-75-9577,12,96,964305
311189,311189,Susan,Gilbert,96095 Amy Coves Via,West Garyton,MD,+12025550105,2004-01-30,002-66-9022,11,62,70e67e
311190,311190,Alexis,Scott,42854 Brittney Corners Village,West Garyton,MD,+12025550124,2008-08-01,770-51-9851,6,6,565860
311191,311191,Ruben,Tran,35325 Williams Springs Circle,West Garyton,MD,+12025550137,2009-08-08,646-72-2734,5,15,207f19
311192,311192,Erin,Camacho,1911 Jimenez Crossroad Lock,West Garyton,MD,+12025550191,2002-05-19,554-16-6504,12,102,015600
311193,311193,Michael,Lopez,287 James Knoll Corners,West Garyton,MD,+12025550191,2011-04-16,213-92-2354,4,3,fa6cfd
311194,311194,Jennifer,Harris,15404 Lori Views Forest,West Garyton,MD,+12025550187,2012-03-18,255-31-3385,3,14,3ff941
311195,311195,Brendan,Coleman,08420 Brown Extension Expressway,West Garyton,MD,+12025550105,2007-02-25,519-28-8370,8,9,e9b2d4
311196,311196,Ryan,Garcia,679 Rios Wells Stream,West Garyton,MD,+12025550105,2007-02-01,888-45-7032,8,2,86eda0
311197,311197,Cathy,Patterson,00502 Charles Lodge Haven,West Garyton,MD,+12025550191,2009-12-23,066-76-9777,5,11,97d59c
311198,311198,Isabella,Branch,801 Stacey Ports Lights,West Garyton,MD,+12025550187,2014-03-14,844-26-2009,1,2,a7f1b9
311199,311199,Kelly,Lane,6532 Meyer Via Centers,West Garyton,MD,+12025550188,2009-09-03,656-27-7167,5,10,0bae10
311200,311200,Michael,Kennedy,87838 Jennifer Course Throughway,West Garyton,MD,+12025550105,2010-05-28,474-14-7824,4,8,1f23e8
311201,311201,Raymond,Hurley,8097 Mary Causeway Ranch,West Garyton,MD,+12025550187,2004-08-27,738-71-3521,10,112,ab5540
311202,311202,Kelly,Moore,037 Brooks Mountain Drive,West Garyton,MD,+12025550191,2009-11-20,790-43-5527,5,8,6694bc
311203,311203,Lindsay,Woodward,437 Walker Route Place,West Garyton,MD,+12025550105,2002-08-29,504-97-8840,12,54,addf96
311204,311204,Mary,Lewis,2778 Young Ridge Vista,West Garyton,MD,+12025550105,2011-11-19,332-67-6685,3,9,489962
311205,311205,Elizabeth,Day,85011 Eric Hollow Stravenue,West Garyton,MD,+12025550191,2012-08-17,142-60-2135,2,0,73515f
311206,311206,Melanie,Anderson,102 Riley Summit Heights,West Garyton,MD,+12025550105,2009-06-06,246-57-4219,5,0,5a9504
311207,311207,Anita,Lee,17077 Gillespie Shoals Mount,West Garyton,MD,+12025550124,2006-02-09,256-07-9557,9,115,f71179
311208,311208,Emily,Hudson,8265 Steven Canyon Pass,West Garyton,MD,+12025550105,2005-10-12,454-11-5142,9,99,706f22
311209,311209,Alexis,Estrada,0041 Sharon Lodge Junctions,West Garyton,MD,+12025550188,2013-07-08,064-24-0033,1,8,eae3b0
311210,311210,Christopher,Kelley,6013 Cameron Ports Dam,West Garyton,MD,+12025550124,2013-01-16,493-25-2475,2,13,187564
311211,311211,Tyler,Smith,74000 Fleming Motorway Gateway,West Garyton,MD,+12025550137,2008-04-19,366-59-1641,7,4,c4f88a
311212,311212,Alan,Pineda,774 Miller Ridge Walks,West Garyton,MD,+12025550105,2009-05-31,858-33-4992,5,1,f020e3
311213,311213,Donna,Chan,0294 Gonzalez Inlet Falls,West Garyton,MD,+12025550188,2004-09-07,095-72-2346,10,91,109881
311214,311214,Gina,Mcdonald,280 Barrett Turnpike Ridges,West Garyton,MD,+12025550124,2004-05-03,325-42-2072,10,85,cec1a5
311215,311215,Gary,Moore,2582 Travis Port Mount,West Garyton,MD,+12025550137,2010-01-30,869-08-1613,5,2,442796
311216,311216,James,Price,15946 Samantha Station Inlet,West Garyton,MD,+12025550105,2003-10-24,806-52-4073,11,105,79858a
311217,311217,Bradley,Wong,05361 Bobby Ridge Place,West Garyton,MD,+12025550191,2009-08-10,543-36-9728,5,1,d868e0
311218,311218,Dawn,Morris,072 Reyes Trail Shores,West Garyton,MD,+12025550191,2006-08-26,667-16-8160,8,9,707580
311219,311219,Breanna,Ross,765 Bradley Turnpike Station,West Garyton,MD,+12025550187,2004-11-23,065-99-4950,10,58,b97a5a
311220,311220,Alexis,Edwards,55236 Theresa Ramp Springs,West Garyton,MD,+12025550187,2012-06-13,727-01-5303,2,0,b932e2
311221,311221,Benjamin,Clayton,1619 Manning Keys Course,West Garyton,MD,+12025550105,2012-01-31,137-50-1302,3,8,7d05de
311222,311222,Laura,Park,49626 Davis Trail Station,West Garyton,MD,+12025550187,2004-08-20,842-81-1902,10,58,18aff0
311223,311223,Devin,Nichols,8455 Brown Path Forge,West Garyton,MD,+12025550191,2003-06-29,827-09-8918,11,77,4fb8b2
311224,311224,Raymond,Velez,6935 Green Drive Union,West Garyton,MD,+12025550191,2003-06-30,386-06-6785,11,112,2c861a
311225,311225,Amanda,Keller,225 Daugherty Land Ramp,West Garyton,MD,+12025550124,2002-09-29,759-37-9543,12,95,bad969
311226,311226,Samantha,Martinez,1508 Sarah Forges Summit,West Garyton,MD,+12025550191,2006-04-13,719-81-0535,9,85,3ec41a
311227,311227,Glenn,Wilson,93579 Aaron Ramp Ports,West Garyton,MD,+12025550124,2007-10-30,757-58-4485,7,5,096445
311228,311228,Lucas,Reynolds,43057 Kennedy Spurs Village,West Garyton,MD,+12025550188,2011-12-21,297-71-3923,3,8,1489cd
311229,311229,Michael,Saunders,3475 Turner Spurs Fall,West Garyton,MD,+12025550191,2004-04-21,552-29-9289,11,107,83aa6b
